city,buurt,title,subtitle,price,rooms,area1,area2,date,link
amsterdam,chassebuurt,Piri Reisplein 5,1057 KH Amsterdam,510000.0,3,85,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-41104721-piri-reisplein-5/
amsterdam,chassebuurt,Lodewijk Boisotstraat 14 huis,1057 ZP Amsterdam,695000.0,3,118,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-41045487-lodewijk-boisotstraat-14-huis/
amsterdam,grachtengordel-west,Singel 78 E,1015 AC Amsterdam,600000.0,4,86,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-41130743-singel-78-e/
amsterdam,grachtengordel-west,Oude Leliestraat 12,1015 AW Amsterdam,700000.0,5,99,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-41166139-oude-leliestraat-12/
amsterdam,grachtengordel-west,Keizersgracht 306 huis,1016 EX Amsterdam,885000.0,2,141,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-41092491-keizersgracht-306-huis/
amsterdam,grachtengordel-west,Singel 140 II,1015 AG Amsterdam,795000.0,3,108,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-41180304-singel-140-ii/
amsterdam,grachtengordel-west,Singel 200 F,1016 AA Amsterdam,775000.0,3,92,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-40182051-singel-200-f/
amsterdam,grachtengordel-west,Prinsengracht 209 B,1015 DT Amsterdam,725000.0,3,87,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-41128596-prinsengracht-209-b/
amsterdam,grachtengordel-west,Hartenstraat 5 A,1016 BZ Amsterdam,597500.0,3,93,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-41017817-hartenstraat-5-a/
amsterdam,grachtengordel-west,Herengracht 147 B,1015 BH Amsterdam,875000.0,3,156,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-41126459-herengracht-147-b/
amsterdam,grachtengordel-west,Blauwburgwal 7 II,1015 AS Amsterdam,895000.0,3,132,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-41098434-blauwburgwal-7-ii/
amsterdam,grachtengordel-west,Westermarkt 7 II,1016 DH Amsterdam,850000.0,5,114,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-41078712-westermarkt-7-ii/
amsterdam,grachtengordel-west,Westermarkt 9 D,1016 DH Amsterdam,900000.0,4,107,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-41128862-westermarkt-9-d/
amsterdam,houthavens,Silodam 255,1013 AS Amsterdam,899000.0,3,109,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-41022655-silodam-255/
amsterdam,houthavens,Memeleiland 19 ^,1014 ZL Amsterdam,535000.0,3,86,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-41041288-memeleiland-19/
amsterdam,houthavens,Memeleiland 59 PP,1014 ZL Amsterdam,575000.0,4,102,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-41114105-memeleiland-59-pp/
